Timestamp,Tension 1 (N),Tension 2 (N),X Coordinate (m),Y Coordinate (m)
2024-09-05 20:07:01.768,12.5,12.5,1.5,14.5
2024-09-05 20:07:01.870,12.25,12.5,1.5,14.375
2024-09-05 20:07:01.973,12.75,12.5,1.5,14.625
2024-09-05 20:07:02.076,12.25,12.5,1.5,14.375
2024-09-05 20:07:02.178,12.75,12.75,1.5,14.75
2024-09-05 20:07:02.281,12.75,12.5,1.5,14.625
2024-09-05 20:07:02.384,12.75,12.75,1.5,14.75
2024-09-05 20:07:02.486,12.75,12.5,1.5,14.625
2024-09-05 20:07:02.589,12.25,12.5,1.5,14.375
2024-09-05 20:07:02.691,12.5,12.75,1.5,14.625
2024-09-05 20:07:02.794,12.75,12.5,1.5,14.625
2024-09-05 20:07:02.896,12.5,12.75,1.5,14.625
2024-09-05 20:07:02.999,12.75,12.5,1.5,14.625
2024-09-05 20:07:03.102,12.5,12.5,1.5,14.5
2024-09-05 20:07:03.204,12.5,12.5,1.5,14.5
2024-09-05 20:07:03.307,12.5,12.25,1.5,14.375
2024-09-05 20:07:03.410,12.75,12.5,1.5,14.625
2024-09-05 20:07:03.512,12.5,12.25,1.5,14.375
2024-09-05 20:07:03.615,12.75,12.5,1.5,14.625
2024-09-05 20:07:03.718,12.75,12.75,1.5,14.75
2024-09-05 20:07:03.820,12.75,12.5,1.5,14.625
2024-09-05 20:07:03.923,12.5,12.5,1.5,14.5
2024-09-05 20:07:04.026,12.75,12.5,1.5,14.625
2024-09-05 20:07:04.129,12.75,12.25,1.5,14.5
2024-09-05 20:07:04.231,12.5,12.5,1.5,14.5
2024-09-05 20:07:04.334,12.75,12.75,1.5,14.75
2024-09-05 20:07:04.437,12.5,12.75,1.5,14.625
2024-09-05 20:07:04.539,12.5,12.5,1.5,14.5
2024-09-05 20:07:04.642,12.5,12.5,1.5,14.5
2024-09-05 20:07:04.744,12.25,12.5,1.5,14.375
2024-09-05 20:07:04.847,12.25,12.5,1.5,14.375
2024-09-05 20:07:04.950,12.5,12.25,1.5,14.375
2024-09-05 20:07:05.052,12.5,12.5,1.5,14.5
2024-09-05 20:07:05.155,12.5,12.5,1.5,14.5
2024-09-05 20:07:05.257,12.75,12.25,1.5,14.5
2024-09-05 20:07:05.360,13.0,12.25,1.5,14.625
2024-09-05 20:07:05.462,12.5,12.25,1.5,14.375
2024-09-05 20:07:05.565,12.5,12.25,1.5,14.375
2024-09-05 20:07:05.668,12.5,12.75,1.5,14.625
2024-09-05 20:07:05.770,12.5,12.75,1.5,14.625
2024-09-05 20:07:05.873,48.25,42.5,1.5,47.375
2024-09-05 20:07:05.975,32.5,30.75,1.5,33.625
2024-09-05 20:07:06.078,29.749999999999996,28.000000000000004,1.5,30.875
2024-09-05 20:07:06.180,28.999999999999996,29.499999999999996,1.5,31.249999999999996
2024-09-05 20:07:06.283,30.5,28.499999999999996,1.5,31.5
2024-09-05 20:07:06.385,29.499999999999996,28.999999999999996,1.5,31.249999999999996
2024-09-05 20:07:06.488,31.0,27.25,1.5,31.125
